Make_ID,Make_Name,Model_ID,Model_Name,MSRP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Displacement,Cylinder,Vehicle Class,EPA Air Pollution Score
452,BMW,2231,535d,,,,,,,,,,,,,,,,,,
452,BMW,2240,ActiveHybrid 5,,,,,,,,,,,,,,,,,,
452,BMW,2376,535xi,,,,,,,,,,,,,,,,,,
452,BMW,2377,328xi,,,,,,,,,,,,,,,,,,
452,BMW,2378,335xi,,,,,,,,,,,,,,,,,,
452,BMW,2584,525i,,,,,,,,,,,,,,,,,,
452,BMW,2585,530i,,,,,,,,,,,,,,,,,,
452,BMW,2586,530xi,,,,,,,,,,,,,,,,,,
452,BMW,2587,525xi,,,,,,,,,,,,,,,,,,
452,BMW,2759,325Cic,,,,,,,,,,,,,,,,,,
452,BMW,2760,330Cic,,,,,,,,,,,,,,,,,,
452,BMW,2761,M3Cic,,,,,,,,,,,,,,,,,,
452,BMW,2762,325Ci,,,,,,,,,,,,,,,,,,
452,BMW,2763,330Ci,,,,,,,,,,,,,,,,,,
452,BMW,2764,325i,,,,,,,,,,,,,,,,,,
452,BMW,2765,325xi,,,,,,,,,,,,,,,,,,
452,BMW,2766,325xiT,,,,,,,,,,,,,,,,,,
452,BMW,2767,530xiT,,,,,,,,,,,,,,,,,,
452,BMW,2777,330i,,,,,,,,,,,,,,,,,,
452,BMW,2778,330xi,,,,,,,,,,,,,,,,,,
452,BMW,2804,760i,,,,,,,,,,,,,,,,,,
452,BMW,3050,325iT,,,,,,,,,,,,,,,,,,
452,BMW,3051,545i,,,,,,,,,,,,,,,,,,
452,BMW,3052,645Ci,,,,,,,,,,,,,,,,,,
452,BMW,3053,645Cic,,,,,,,,,,,,,,,,,,
452,BMW,3054,745i,,,,,,,,,,,,,,,,,,
452,BMW,3055,745Li,,,,,,,,,,,,,,,,,,
452,BMW,5178,318i,,,,,,,,,,,,,,,,,,
452,BMW,5185,318iS,,,,,,,,,,,,,,,,,,
452,BMW,5186,318iC,,,,,,,,,,,,,,,,,,
452,BMW,5187,325iS,,,,,,,,,,,,,,,,,,
452,BMW,5190,325iC,,,,,,,,,,,,,,,,,,
452,BMW,5193,525iT,,,,,,,,,,,,,,,,,,
452,BMW,5194,530iT,,,,,,,,,,,,,,,,,,
452,BMW,5195,540i,,,,,,,,,,,,,,,,,,
452,BMW,5198,840Ci,,,,,,,,,,,,,,,,,,
452,BMW,5199,850Ci,,,,,,,,,,,,,,,,,,
452,BMW,5200,850CSi,,,,,,,,,,,,,,,,,,
452,BMW,5217,318ti,,,,,,,,,,,,,,,,,,
452,BMW,5237,328iC,,,,,,,,,,,,,,,,,,
452,BMW,5238,328iS,,,,,,,,,,,,,,,,,,
452,BMW,5239,Z3,,,,,,,,,,,,,,,,,,
452,BMW,5253,323i,,,,,,,,,,,,,,,,,,
452,BMW,5254,323is,,,,,,,,,,,,,,,,,,
452,BMW,5255,323iC,,,,,,,,,,,,,,,,,,
452,BMW,5324,Z8,,,,,,,,,,,,,,,,,,
452,BMW,5343,525iA,,,,,,,,,,,,,,,,,,
452,BMW,5347,530iA,,,,,,,,,,,,,,,,,,
452,BMW,5348,540iA,,,,,,,,,,,,,,,,,,
452,BMW,5349,525iAT,,,,,,,,,,,,,,,,,,
452,BMW,5350,540iAT,,,,,,,,,,,,,,,,,,
452,BMW,5355,Alpina,,,,,,,,,,,,,,,,,,
452,BMW,5384,645i,,,,,,,,,,,,,,,,,,
452,BMW,9253,335,,,,,,,,,,,,,,,,,,
